Time,JointIndex,PartialEffort
1743973757.2993226,21,0.27016546929502583
1743973757.2993338,23,0.020421445562579767
1743973757.2993407,27,0.00025794241477070546
1743973757.2993464,26,1.0
1743973757.3047903,21,0.01176382276819904
1743973757.3047972,23,0.05379432264849904
1743973757.304803,27,0.00042329861542753647
1743973757.3048077,26,0.7413867139666697
1743973757.3101912,21,4.293682422343974e-05
1743973757.3102016,23,4.549447624109792e-05
1743973757.3102205,27,3.2082605943123834e-07
1743973757.3102279,26,1.450662921642484e-05
1743973757.3156936,21,2.7349562048153555e-05
1743973757.3157034,23,1.1041388327913191e-05
1743973757.3157103,27,1.5317957856856505e-07
1743973757.3157158,26,1.7094696452471004e-05
1743973757.3216202,21,0.11620203079642655
1743973757.3216686,23,0.04837477594249053
1743973757.321679,27,4.194486452452967e-05
1743973757.3216896,26,0.006092648293066347
1743973757.3279614,21,0.13610735277380764
1743973757.3279722,23,0.051680284290019245
1743973757.3279793,27,8.741353229477037e-06
1743973757.327988,26,0.02081412694603602
1743973757.3336618,21,0.019423688197079205
1743973757.3336697,23,0.06730385214433546
1743973757.333692,27,9.658641364966777e-05
1743973757.333702,26,0.10285535811457025
1743973757.3397942,21,0.002679199396604055
1743973757.3398037,23,0.0027332331200374694
1743973757.3398113,27,5.406722866182766e-06
1743973757.3398168,26,0.005364472032028084
1743973757.3455374,21,0.008344678490762899
1743973757.3455508,23,0.004654307327920606
1743973757.3455596,27,6.530785090631549e-06
1743973757.3455677,26,0.012091467894535973
1743973757.3516455,21,0.010012794243618546
1743973757.3516798,23,0.005105149179297163
1743973757.3516896,27,2.330219701186253e-06
1743973757.3516972,26,0.017986120292510913
1743973757.3576884,21,0.0092042080230186
1743973757.357699,23,0.004783361493787598
1743973757.3577046,27,5.920279677476487e-07
1743973757.3577101,26,0.023290998724155704
1743973757.3634176,21,0.008195555967105507
1743973757.3634484,23,0.0044462641667460225
1743973757.3634632,27,4.4766330918373993e-07
1743973757.3635051,26,0.02818463229665959
1743973757.369824,21,0.007436435950276373
1743973757.3698308,23,0.0041409227160240395
1743973757.3698373,27,2.541001364754973e-06
1743973757.3698437,26,0.03272513372491811
1743973757.3753939,21,0.6837649925854875
1743973757.3754156,23,0.3479068406738096
1743973757.3754227,27,0.0006580322454774122
1743973757.3754287,26,0.006313091435029582
1743973757.3810618,21,0.441099466342377
1743973757.3810694,23,0.20681891380374617
1743973757.3810747,27,0.0005112265180174226
1743973757.3810794,26,0.1906120346618223
1743973757.3865774,21,0.002822013013941422
1743973757.386592,23,0.07619796788751372
1743973757.3865972,27,0.00012417439542052616
1743973757.386602,26,0.1548623402595527
1743973757.3920727,21,0.013346845819187608
1743973757.392083,23,0.005349146146369247
1743973757.3920887,27,1.7037451234044236e-05
1743973757.3920937,26,0.047692827287435624
1743973757.3976395,21,0.009598673717825253
1743973757.3976474,23,0.003929763237155866
1743973757.3976526,27,7.406338434032823e-06
1743973757.3976576,26,0.050289603645046935
1743973757.4032466,21,0.009197287003099264
1743973757.4032545,23,0.003757129195730356
1743973757.4032598,27,5.331431019587143e-06
1743973757.4032645,26,0.05299170452186331
1743973757.4087348,21,0.009783913402781482
1743973757.4087453,23,0.004007609730069618
1743973757.40875,27,2.879061488008932e-06
1743973757.4087553,26,0.05557956014081542
1743973757.414255,21,0.010440220901825068
1743973757.4142642,23,0.004296185228796712
1743973757.4142709,27,1.20349158108381e-06
1743973757.414278,26,0.05798829062535095
1743973757.4197788,21,0.010848179333926273
1743973757.4197886,23,0.0044667070487271286
1743973757.4197955,27,1.843231830787717e-06
1743973757.419803,26,0.06020914470619814
1743973757.4258492,21,0.3402955935853823
1743973757.425884,23,0.16128602531209774
1743973757.4258928,27,1.9397632389019633e-05
1743973757.4258995,26,0.18559055832582733
1743973757.4317698,21,0.03826141535447947
1743973757.4317782,23,0.055985664055281534
1743973757.4317837,27,2.5207037673036695e-05
1743973757.431803,26,0.1439406364396532
1743973757.4372945,21,0.01955465590072922
1743973757.4373012,23,0.006997655953191248
1743973757.437307,27,1.5455676603822817e-06
1743973757.437312,26,0.06669444712760507
1743973757.4428604,21,0.013832845642703817
1743973757.4428685,23,0.005160833066143928
1743973757.442874,27,1.161566101924978e-06
1743973757.4428792,26,0.06784069302435805
1743973757.4484866,21,0.012788683961050349
1743973757.4484954,23,0.004864794920555165
1743973757.4485013,27,1.6109979509029095e-06
1743973757.4485064,26,0.06917220045302291
1743973757.4542456,21,0.0128061710016079
1743973757.4543016,23,0.004932670076396351
1743973757.45432,27,1.3853661812674946e-06
1743973757.4544249,26,0.07046159748442422
1743973757.4604917,21,0.012956335891607875
1743973757.4604986,23,0.005030444616241856
1743973757.460504,27,1.7664630831026102e-06
1743973757.4605088,26,0.07166416172172821
1743973757.4662023,21,0.01321051622797017
1743973757.466231,23,0.005176203410237854
1743973757.466278,27,1.3666277364430296e-06
1743973757.4662938,26,0.07278348733016105
1743973757.472263,21,0.7285363197804255
1743973757.4722705,23,0.35810231826860234
1743973757.472276,27,0.0003183029252103712
1743973757.4722807,26,0.02044820459501539
1743973757.4778123,21,0.5811490292953247
1743973757.4778214,23,0.2882956436236367
1743973757.4778283,27,0.00022732117085552068
1743973757.4778347,26,0.2817057814521496
1743973757.4834201,21,0.0057866404015168285
1743973757.4834328,23,0.018753714512509602
1743973757.4834397,27,7.166576891791148e-05
1743973757.4834464,26,0.13197943529476774
1743973757.4893303,21,0.010155621309018165
1743973757.4893522,23,0.0038877626983833155
1743973757.4893637,27,1.5283342936936863e-05
1743973757.4893756,26,0.07674110211732879
1743973757.4957201,21,0.012546387560988555
1743973757.4957337,23,0.004570568104765232
1743973757.495776,27,6.2514644304899596e-06
1743973757.495783,26,0.07735823419091813
1743973757.5016718,21,0.013516058025730651
1743973757.5017278,23,0.004911589294118186
1743973757.5017428,27,3.160364315459709e-06
1743973757.501756,26,0.07798712951934483
1743973757.507754,21,0.013842015540895153
1743973757.5077622,23,0.005064273874823437
1743973757.5077686,27,2.9783790052910483e-06
1743973757.5077736,26,0.07858049775576485
1743973757.5132852,21,0.014186111051980655
1743973757.5132928,23,0.005271712060256062
1743973757.5132983,27,1.3528638023737105e-06
1743973757.513303,26,0.07914356438921076
1743973757.5189235,21,0.0144315116654002
1743973757.518963,23,0.005431044371165313
1743973757.518978,27,2.671477958723874e-07
1743973757.5189943,26,0.07966229928549995
1743973757.525217,21,0.6916059321739924
1743973757.5252244,23,0.33889191150112413
1743973757.52523,27,0.00014476408874011066
1743973757.5252345,26,0.0316099000593034
1743973757.5310395,21,0.6337383045677707
