Tiempo,Posicion_Y,Velocidad_Y,Velocidad_Ruedas,Fuerza_Ruedas
0.08555960655212402,0.010206124720634329,0.1235455690131569,10,0
0.1667320728302002,0.020581866916657268,0.12527708076406704,10,0
0.2522571086883545,0.031072811920677817,0.12633851596205195,10,0
0.3291926383972168,0.041093906701919806,0.12670063652315847,10,0
0.41051554679870605,0.05111683008190307,0.12641671596471424,10,0
0.45325636863708496,0.06622094786916179,1.8466637733080309,10,0
0.4618091583251953,0.08244183589655239,1.9730034748546377,10,0
0.47037172317504883,0.09930856235643737,2.041455167366213,10,0
0.47891998291015625,0.11657985778729227,2.077662020176974,10,0
0.487440824508667,0.13392923498773268,2.082236402892282,10,0
0.49179840087890625,0.15134351398331297,2.0879126391930347,10,0
0.5003421306610107,0.16869534898731867,2.0795375183799982,10,0
0.5089015960693359,0.18600450417342845,2.0757879002383994,10,0
0.5174551010131836,0.20319664797504672,2.0640612212367437,10,0
0.5260412693023682,0.2203650566514532,2.0589390094238564,10,0
0.5346064567565918,0.2374053793795924,2.043593359316773,10,0
0.5431766510009766,0.2543497014830674,2.0254904635718307,10,0
0.551800012588501,0.2712004871088836,2.0209129706451634,10,0
0.560370683670044,0.28798179623194364,2.0089192365798643,10,0
0.5689070224761963,0.30469659437319546,2.0046667454169604,10,0
0.5774722099304199,0.32133952776597374,1.9918104985686171,10,0
0.5860249996185303,0.3379079274775784,1.9871652002293085,10,0
0.5945651531219482,0.3543172574017954,1.967477594084441,10,0
0.6031224727630615,0.37069440219178795,1.9627473488444636,10,0
0.611659049987793,0.3871008507771995,1.9706021720539482,10,0
0.6202013492584229,0.4034855914231268,1.9630817242123575,10,0
0.628734827041626,0.41987701173465325,1.9680489909293757,10,0
0.6372623443603516,0.43624365132844467,1.961559597251942,10,0
0.645808219909668,0.45260285622334145,1.964898091644982,10,0
0.6500880718231201,0.4689705464741309,1.963462704534369,10,0
0.6585736274719238,0.48530630441746975,1.9626479878530396,10,0
0.6670620441436768,0.5016627667414162,1.9616784770905145,10,0
0.675544261932373,0.5180018847441809,1.960428740903858,10,0
0.6840469837188721,0.5343568340877273,1.9621967124057962,10,0
0.6925373077392578,0.5506848419437627,1.957542912617355,10,0
0.7010345458984375,0.5670378319312004,1.9629089348974986,10,0
0.709524393081665,0.5833770919041916,1.958190593767103,10,0
0.7180192470550537,0.5997460314021577,1.9656744119166276,10,0
0.7265129089355469,0.6161023304967104,1.9605627826797845,10,0
0.7350208759307861,0.6324549990579715,1.9646004447740337,10,0
0.743511438369751,0.6488189939261765,1.962205982554806,10,0
0.7520334720611572,0.6651557116777708,1.963396833682068,10,0
0.7605228424072266,0.681528738430187,1.9641859717115009,10,0
0.7690935134887695,0.6978729867709129,1.9619031428359421,10,0
0.7775895595550537,0.7142511195499813,1.9651998962888193,10,0
0.7860727310180664,0.7305873800957525,1.9597951430057243,10,0
0.7945559024810791,0.7469631176671059,1.9654123941931074,10,0
0.8030400276184082,0.7632987829325169,1.9579793959689198,10,0
0.8115193843841553,0.7796748359805763,1.9661188116472763,10,0
0.8200006484985352,0.7960396984161204,1.9634148601435646,10,0
0.8284776210784912,0.812410858365211,1.9660586633303494,10,0
0.8369646072387695,0.8287683612055289,1.9608851389208448,10,0
0.845435619354248,0.8451303517324887,1.965469550183054,10,0
0.8539271354675293,0.8615055647978619,1.9646574372026022,10,0
0.8623993396759033,0.8778605967594805,1.9651715165611072,10,0
0.8711450099945068,0.9023930911147924,1.9576225539933612,10,0
0.8796107769012451,0.9187670700330399,1.9659188684254183,10,0
0.8880963325500488,0.9351304991622212,1.9632462450398,10,0
0.8965637683868408,0.9514997909968427,1.9659109655306253,10,0
0.90505051612854,0.9678569342086594,1.9606871181280088,10,0
0.913520097732544,0.9842168280485377,1.9653514158359642,10,0
0.922004222869873,1.0005860007549512,1.9629899206551955,10,0
0.9304718971252441,1.0169319491862612,1.964274098557822,10,0
0.938957691192627,1.0333021668933573,1.9631389759487796,10,0
0.9474236965179443,1.049635718234501,1.963276244951489,10,0
0.9559471607208252,1.0660122138181753,1.964499345213846,10,0
0.9644129276275635,1.0823686416907472,1.961768785313525,10,0
0.9729118347167969,1.0987479767882502,1.9654070094828835,10,0
0.981389045715332,1.1150850736775857,1.9597094313885801,10,0
0.9899077415466309,1.1314620839884764,1.9657125782741118,10,0
0.9983735084533691,1.1477980282670497,1.9578645178048977,10,0
1.0068745613098145,1.164174598648066,1.9662637179099147,10,0
1.0153396129608154,1.1805409982098911,1.9636033632344456,10,0
1.0238492488861084,1.1969082245132991,1.9657105520767975,10,0
1.0323145389556885,1.2132624928301232,1.960119474581836,10,0
1.0408105850219727,1.2296224501524928,1.965407875597184,10,0
1.0492746829986572,1.2459882619878282,1.9620706995230424,10,0
1.0577714443206787,1.2623362631122967,1.9645419448382544,10,0
1.0662386417388916,1.2787088330186276,1.9634291427848627,10,0
1.07472562789917,1.295040748724067,1.963128435013056,10,0
1.0831935405731201,1.3114158314835263,1.9643007233755174,10,0
1.0919010639190674,1.3359623668651825,1.965676845487841,10,0
1.1003687381744385,1.3523267236680372,1.9621169665524973,10,0
1.1088612079620361,1.3686819735514757,1.9650796283995415,10,0
1.1173274517059326,1.3850509299940184,1.9626905908354007,10,0
1.125812292098999,1.4013917751797895,1.9639268559703753,10,0
1.1342804431915283,1.417765463322012,1.9638229200149673,10,0
1.142777681350708,1.4341241226941661,1.9629837467674245,10,0
1.1512451171875,1.4505042177620606,1.9651217869332456,10,0
1.1597309112548828,1.466845303568667,1.9609939357426482,10,0
