Tiempo,Posicion_Y,Velocidad_Y,Velocidad_Ruedas,Fuerza_Ruedas
0.0984804630279541,0.010498100345627032,0.12340767466432198,10,0
0.1795027256011963,0.02086084333750703,0.1251049872914647,10,0
0.26444315910339355,0.03133602810193719,0.12613440633567025,10,0
0.34513211250305176,0.041339795478043555,0.12646898168471446,10,0
0.4219205379486084,0.051343354092990574,0.12616106599723545,10,0
0.4689507484436035,0.03979365292424756,-0.996253480178937,10,0
0.4817347526550293,0.026160063620611403,-1.114507653242059,10,0
0.5373249053955078,0.03828496043216344,0.7446636661165189,10,0
0.5501163005828857,0.0514570553238321,0.8049548315531607,10,0
0.5629470348358154,0.06203846612477116,0.8812612374821279,10,0
0.5757861137390137,0.07305326599841809,0.8811454954694917,10,0
0.5885839462280273,0.08486655323504726,0.9521768005353268,10,0
0.6014318466186523,0.09754252078822064,1.067580068871974,10,0
0.614250659942627,0.11138526329855722,1.1462927353436412,10,0
0.6270952224731445,0.1262903602865232,1.2013461742580966,10,0
0.6356635093688965,0.13654997039280897,1.245336882073411,10,0
0.6442461013793945,0.14699313229231772,1.2517594755453656,10,0
0.6528079509735107,0.15756729623046176,1.2773471367322315,10,0
0.6613194942474365,0.16844747085913514,1.3113940171850282,10,0
0.6697995662689209,0.17954675190592045,1.3387230440228854,10,0
0.6782732009887695,0.19093902232983875,1.3777000344060828,10,0
0.6867918968200684,0.2026672911242149,1.4192500218920474,10,0
0.6953251361846924,0.21458191442638722,1.4351810999934818,10,0
0.703925609588623,0.22672653318486732,1.4633153573920825,10,0
0.7124648094177246,0.2391693103208805,1.5015889888158132,10,0
0.7167491912841797,0.2518814626472432,1.5316935268851513,10,0
0.7253079414367676,0.26506723723215636,1.625101586761733,10,0
0.733851432800293,0.2791157614919387,1.6918124356692776,10,0
0.74241042137146,0.293619187990533,1.7768473031165923,10,0
0.7509622573852539,0.30882719321248553,1.8313456829577264,10,0
0.7595291137695312,0.3241916267199022,1.8505713443094736,10,0
0.7681059837341309,0.34001024633928967,1.9068305812083521,10,0
0.7766616344451904,0.3559628494963688,1.919380419607435,10,0
0.7852334976196289,0.37222156124184774,1.9628643964257142,10,0
0.7937591075897217,0.38857764798626027,1.9637971599399617,10,0
0.8023228645324707,0.40494356531069703,1.9647193642273793,10,0
0.8108413219451904,0.42131293274551096,1.9629458558186479,10,0
0.8194031715393066,0.43767451592124534,1.9646548131138446,10,0
0.8279528617858887,0.4540356812876923,1.9607782603204207,10,0
